Файл данных опроса от 11:20:21 15.02.2021
Прибор № 1 (адрес - 1)
Addr: 1 ; Command: 1 ; Pressure: -0,0041816 MPa ; Time: 11:21:56.725 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041676 MPa ; Time: 11:21:57.729 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041707 MPa ; Time: 11:21:58.735 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041427 MPa ; Time: 11:21:59.719 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041430 MPa ; Time: 11:22:00.727 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041599 MPa ; Time: 11:22:01.747 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041915 MPa ; Time: 11:22:02.723 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041918 MPa ; Time: 11:22:03.740 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042555 MPa ; Time: 11:22:04.775 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042579 MPa ; Time: 11:22:05.760 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042735 MPa ; Time: 11:22:06.761 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0043163 MPa ; Time: 11:22:07.778 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042572 MPa ; Time: 11:22:08.777 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042431 MPa ; Time: 11:22:09.779 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042109 MPa ; Time: 11:22:10.782 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041802 MPa ; Time: 11:22:11.770 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041939 MPa ; Time: 11:22:12.775 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041323 MPa ; Time: 11:22:13.771 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041659 MPa ; Time: 11:22:14.788 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041496 MPa ; Time: 11:22:15.793 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041326 MPa ; Time: 11:22:16.780 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041799 MPa ; Time: 11:22:17.794 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041665 MPa ; Time: 11:22:18.823 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041489 MPa ; Time: 11:22:19.823 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041822 MPa ; Time: 11:22:20.838 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041966 MPa ; Time: 11:22:21.832 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041850 MPa ; Time: 11:22:22.833 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042634 MPa ; Time: 11:22:23.847 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042661 MPa ; Time: 11:22:24.848 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042841 MPa ; Time: 11:22:25.865 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0043175 MPa ; Time: 11:22:26.872 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0043336 MPa ; Time: 11:22:27.882 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0043535 MPa ; Time: 11:22:28.880 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0043377 MPa ; Time: 11:22:29.902 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0043253 MPa ; Time: 11:22:30.920 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0043276 MPa ; Time: 11:22:31.893 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042990 MPa ; Time: 11:22:32.894 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0042528 MPa ; Time: 11:22:33.910 ; Date: 15.02.2021
