Файл данных опроса от 11:20:21 15.02.2021
Прибор № 4 (адрес - 4)
Addr: 4 ; Command: 1 ; Pressure: -100,7774000 kPa ; Time: 11:22:22.456 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7809000 kPa ; Time: 11:22:23.458 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7814000 kPa ; Time: 11:22:24.470 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7797000 kPa ; Time: 11:22:25.479 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7780000 kPa ; Time: 11:22:26.497 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7763000 kPa ; Time: 11:22:27.503 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7751000 kPa ; Time: 11:22:28.521 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7751000 kPa ; Time: 11:22:29.510 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7734000 kPa ; Time: 11:22:30.525 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7740000 kPa ; Time: 11:22:31.532 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7745000 kPa ; Time: 11:22:32.519 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7745000 kPa ; Time: 11:22:33.519 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7791000 kPa ; Time: 11:22:34.534 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7808000 kPa ; Time: 11:22:35.547 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7814000 kPa ; Time: 11:22:36.548 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7836000 kPa ; Time: 11:22:37.566 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7854000 kPa ; Time: 11:22:38.585 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7814000 kPa ; Time: 11:22:39.604 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7819000 kPa ; Time: 11:22:40.594 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7796000 kPa ; Time: 11:22:41.597 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7773000 kPa ; Time: 11:22:42.602 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7739000 kPa ; Time: 11:22:43.594 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7716000 kPa ; Time: 11:22:44.594 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7705000 kPa ; Time: 11:22:45.592 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7705000 kPa ; Time: 11:22:46.620 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7716000 kPa ; Time: 11:22:47.596 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7716000 kPa ; Time: 11:22:48.601 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7710000 kPa ; Time: 11:22:49.601 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7734000 kPa ; Time: 11:22:50.601 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7739000 kPa ; Time: 11:22:51.604 ; Date: 15.02.2021
