Файл данных опроса от 11:20:21 15.02.2021
Прибор № 2 (адрес - 2)
Addr: 2 ; Command: 1 ; Pressure: 1,7426530 kPa ; Time: 11:21:51.012 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7439040 kPa ; Time: 11:21:52.014 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7449950 kPa ; Time: 11:21:53.001 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7438580 kPa ; Time: 11:21:54.022 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7438660 kPa ; Time: 11:21:55.036 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7455980 kPa ; Time: 11:21:56.037 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7472760 kPa ; Time: 11:21:57.037 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7472530 kPa ; Time: 11:21:58.041 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7467040 kPa ; Time: 11:21:59.048 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7449420 kPa ; Time: 11:22:00.032 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7449420 kPa ; Time: 11:22:01.040 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7443770 kPa ; Time: 11:22:02.062 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7455440 kPa ; Time: 11:22:03.036 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7449110 kPa ; Time: 11:22:04.056 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7430730 kPa ; Time: 11:22:05.072 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7419360 kPa ; Time: 11:22:06.069 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7430190 kPa ; Time: 11:22:07.073 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7407070 kPa ; Time: 11:22:08.085 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7401350 kPa ; Time: 11:22:09.089 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7389980 kPa ; Time: 11:22:10.105 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7377470 kPa ; Time: 11:22:11.095 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7383120 kPa ; Time: 11:22:12.085 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7382890 kPa ; Time: 11:22:13.087 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7389680 kPa ; Time: 11:22:14.084 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7365040 kPa ; Time: 11:22:15.099 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7341840 kPa ; Time: 11:22:16.093 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7341840 kPa ; Time: 11:22:17.094 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7347260 kPa ; Time: 11:22:18.123 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7364650 kPa ; Time: 11:22:19.136 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7364430 kPa ; Time: 11:22:20.136 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7358860 kPa ; Time: 11:22:21.143 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7364350 kPa ; Time: 11:22:22.145 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7394260 kPa ; Time: 11:22:23.145 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7417300 kPa ; Time: 11:22:24.158 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7422790 kPa ; Time: 11:22:25.163 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7422790 kPa ; Time: 11:22:26.184 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7428440 kPa ; Time: 11:22:27.185 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7440950 kPa ; Time: 11:22:28.193 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7435300 kPa ; Time: 11:22:29.195 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7428440 kPa ; Time: 11:22:30.214 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7422790 kPa ; Time: 11:22:31.216 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7399600 kPa ; Time: 11:22:32.206 ; Date: 15.02.2021
